Date,Index,Current,Point Change,% Change,Turnover
2023-09-06,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-09-05,NEPSE Index,1961.37,-6.45,-0.32,796870408.04
2023-09-05,Sensitive Index,377.24,-0.47,-0.12,211405173.5
2023-09-05,Float Index,135.9,-0.5,-0.37,709805809.9
2023-09-05,Sensitive Float Index,124.71,-0.28,-0.22,210856220.2
2023-09-04,NEPSE Index,1967.83,7.04,0.35,1099139697.15
2023-09-04,Sensitive Index,377.71,1.09,0.28,327467437.7
2023-09-04,Float Index,136.41,0.41,0.3,1.0
2023-09-04,Sensitive Float Index,124.99,0.28,0.22,326795608.9
2023-09-03,NEPSE Index,1960.78,-29.81,-1.49,1186618410.86
2023-09-03,Sensitive Index,376.62,-5.09,-1.33,383420842.8
2023-09-03,Float Index,136.0,-1.98,-1.43,1148859650.0
2023-09-03,Sensitive Float Index,124.71,-1.68,-1.33,382968839.3
2023-09-02,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-09-01,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-08-31,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-08-30,NEPSE Index,1990.59,-2.82,-0.14,1130008041.15
2023-08-30,Sensitive Index,381.71,-1.13,-0.29,476789650.0
2023-08-30,Float Index,137.98,-0.18,-0.13,1104947545.0
2023-08-30,Sensitive Float Index,126.39,-0.28,-0.22,475989098.2
2023-08-29,NEPSE Index,1993.42,-5.05,-0.25,865120452.4
2023-08-29,Sensitive Index,382.85,-0.71,-0.18,280557362.6
2023-08-29,Float Index,138.17,-0.39,-0.28,796395000.5
2023-08-29,Sensitive Float Index,126.68,-0.26,-0.2,279597984.8
2023-08-28,NEPSE Index,1998.48,5.09,0.25,988628562.24
2023-08-28,Sensitive Index,383.56,1.45,0.38,303816463.9
2023-08-28,Float Index,138.57,0.43,0.31,962239771.4
2023-08-28,Sensitive Float Index,126.94,0.59,0.46,303482609.9
2023-08-27,NEPSE Index,1993.38,-20.54,-1.02,1262767876.55
2023-08-27,Sensitive Index,382.11,-3.44,-0.89,411849447.4
2023-08-27,Float Index,138.13,-1.4,-1.0,1237785089.3
2023-08-27,Sensitive Float Index,126.35,-1.19,-0.93,410867892.6
2023-08-26,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-08-25,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-08-24,NEPSE Index,2013.93,-31.52,-1.54,1550582685.37
2023-08-24,Sensitive Index,385.56,-4.72,-1.21,534329512.1
2023-08-24,Float Index,139.53,-2.16,-1.52,1524359956.0
2023-08-24,Sensitive Float Index,127.55,-1.68,-1.3,532996482.4
2023-08-23,NEPSE Index,2045.45,29.47,1.46,1510488984.6
2023-08-23,Sensitive Index,390.28,4.3,1.11,471785320.9
2023-08-23,Float Index,141.7,2.06,1.47,1499887631.4
2023-08-23,Sensitive Float Index,129.23,1.52,1.19,470556882.9
2023-08-22,NEPSE Index,2015.98,17.69,0.88,1332564769.51
2023-08-22,Sensitive Index,385.98,3.36,0.87,326295559.1
2023-08-22,Float Index,139.64,1.1,0.79,1034933156.0
2023-08-22,Sensitive Float Index,127.7,0.96,0.76,325748061.1
2023-08-21,NEPSE Index,1998.28,-12.93,-0.64,1408981601.68
2023-08-21,Sensitive Index,382.62,-1.5,-0.39,486670697.7
2023-08-21,Float Index,138.53,-0.89,-0.64,1374957107.8
2023-08-21,Sensitive Float Index,126.74,-0.66,-0.52,485169584.4
2023-08-20,NEPSE Index,2011.22,-21.91,-1.07,1447408942.66
2023-08-20,Sensitive Index,384.12,-3.25,-0.84,548232256.0
2023-08-20,Float Index,139.42,-1.37,-0.97,1433537671.6
2023-08-20,Sensitive Float Index,127.4,-0.86,-0.67,547552946.4
2023-08-19,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-08-18,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-08-17,NEPSE Index,2033.13,8.01,0.39,1541367398.79
2023-08-17,Sensitive Index,387.38,1.08,0.28,575821645.8
2023-08-17,Float Index,140.8,0.6,0.42,1510285809.0
2023-08-17,Sensitive Float Index,128.27,0.47,0.37,575059615.8
2023-08-16,NEPSE Index,2025.12,-20.31,-0.99,1679980623.08
2023-08-16,Sensitive Index,386.3,-5.54,-1.41,606924198.5
2023-08-16,Float Index,140.2,-1.35,-0.95,1657455028.4
2023-08-16,Sensitive Float Index,127.79,-1.42,-1.09,605936144.3
2023-08-15,NEPSE Index,2045.44,-31.8,-1.53,2157312369.5
2023-08-15,Sensitive Index,391.84,-6.29,-1.57,781673261.8
2023-08-15,Float Index,141.55,-2.22,-1.54,2095110938.3
2023-08-15,Sensitive Float Index,129.21,-2.26,-1.72,780579554.3
2023-08-14,NEPSE Index,2077.24,-3.61,-0.17,2091390638.3
2023-08-14,Sensitive Index,398.13,0.06,0.01,759405775.3
2023-08-14,Float Index,143.78,-0.27,-0.19,2050445340.9
2023-08-14,Sensitive Float Index,131.48,0.13,0.1,758340486.3
2023-08-13,NEPSE Index,2080.86,14.81,0.71,3018460512.26
2023-08-13,Sensitive Index,398.07,3.91,0.99,816835109.8
2023-08-13,Float Index,144.05,1.19,0.83,2165731850.9
2023-08-13,Sensitive Float Index,131.34,1.47,1.13,815851554.3
2023-08-12,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-08-11,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-08-10,NEPSE Index,2066.05,5.13,0.24,2156583945.67
2023-08-10,Sensitive Index,394.15,1.1,0.28,734861143.9
2023-08-10,Float Index,142.86,0.21,0.15,2123616592.5
2023-08-10,Sensitive Float Index,129.87,0.01,0.01,733535809.1
2023-08-09,NEPSE Index,2060.91,41.06,2.03,1888326469.62
2023-08-09,Sensitive Index,393.05,7.48,1.94,536468020.9
2023-08-09,Float Index,142.65,2.73,1.95,1879026334.2
2023-08-09,Sensitive Float Index,129.85,2.25,1.77,535678890.9
2023-08-08,NEPSE Index,2019.85,-28.4,-1.38,1737014499.55
2023-08-08,Sensitive Index,385.56,-4.86,-1.24,558202735.0
2023-08-08,Float Index,139.91,-1.94,-1.36,1720618919.9
2023-08-08,Sensitive Float Index,127.59,-1.63,-1.26,556763162.5
2023-08-07,NEPSE Index,2048.26,-3.21,-0.15,2333573297.98
2023-08-07,Sensitive Index,390.43,-1.59,-0.4,693612529.4
2023-08-07,Float Index,141.85,-0.31,-0.21,2247169292.6
2023-08-07,Sensitive Float Index,129.23,-0.48,-0.37,691947961.9
2023-08-06,NEPSE Index,2051.47,-38.37,-1.83,2687148234.55
2023-08-06,Sensitive Index,392.02,-7.52,-1.88,1078090407.4
2023-08-06,Float Index,142.16,-2.74,-1.89,2618999542.4
2023-08-06,Sensitive Float Index,129.72,-2.56,-1.93,1075970707.4
2023-08-05,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-08-04,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-08-03,NEPSE Index,2089.84,3.0,0.14,1781941701.8
2023-08-03,Sensitive Index,399.54,1.25,0.31,623908967.8
2023-08-03,Float Index,144.9,0.2,0.14,1759622668.4
2023-08-03,Sensitive Float Index,132.28,0.54,0.41,622259461.7
2023-08-02,NEPSE Index,2086.84,9.25,0.44,1812473856.12
2023-08-02,Sensitive Index,398.28,1.56,0.39,515439829.7
2023-08-02,Float Index,144.69,0.7,0.48,1573944078.9
2023-08-02,Sensitive Float Index,131.73,0.56,0.43,514778816.3
2023-08-01,NEPSE Index,2077.58,-28.9,-1.35,1924434899.89
2023-08-01,Sensitive Index,396.72,-5.13,-1.27,662890073.0
2023-08-01,Float Index,143.99,-1.97,-1.35,1894553692.7
2023-08-01,Sensitive Float Index,131.16,-1.51,-1.14,660969747.1
2023-07-31,NEPSE Index,2106.18,5.84,0.27,1858002175.73
2023-07-31,Sensitive Index,401.85,2.18,0.54,681432708.8
2023-07-31,Float Index,145.97,0.48,0.33,1827722346.4
2023-07-31,Sensitive Float Index,132.68,0.87,0.66,680510641.1
2023-07-30,NEPSE Index,2100.34,-26.14,-1.22,2502886527.87
2023-07-30,Sensitive Index,399.66,-4.17,-1.03,926998435.2
2023-07-30,Float Index,145.48,-1.84,-1.25,2439369536.6
